storm_id,timestamp,latitude,longitude,wind_kt,pressure_hpa,category
YAAS,2021-05-23 06:00:00+00:00,16.1,90.2,25.0,996.0,Depression
YAAS,2021-05-23 12:00:00+00:00,16.2,89.9,25.0,994.0,Depression
YAAS,2021-05-23 18:00:00+00:00,16.3,89.7,30.0,992.0,Deep Depression
YAAS,2021-05-24 00:00:00+00:00,16.3,89.7,35.0,990.0,Cyclonic Storm
YAAS,2021-05-24 03:00:00+00:00,16.5,89.6,40.0,988.0,Cyclonic Storm
YAAS,2021-05-24 06:00:00+00:00,16.4,89.6,40.0,988.0,Cyclonic Storm
YAAS,2021-05-24 09:00:00+00:00,16.8,89.5,40.0,988.0,Cyclonic Storm
YAAS,2021-05-24 12:00:00+00:00,17.1,89.3,45.0,986.0,Cyclonic Storm
YAAS,2021-05-24 15:00:00+00:00,17.4,89.2,45.0,986.0,Cyclonic Storm
YAAS,2021-05-24 18:00:00+00:00,17.6,89.0,50.0,984.0,Severe Cyclonic Storm
YAAS,2021-05-24 21:00:00+00:00,17.8,88.9,55.0,982.0,Severe Cyclonic Storm
YAAS,2021-05-25 00:00:00+00:00,18.0,88.6,55.0,980.0,Severe Cyclonic Storm
YAAS,2021-05-25 03:00:00+00:00,18.3,88.3,55.0,980.0,Severe Cyclonic Storm
YAAS,2021-05-25 06:00:00+00:00,18.7,88.0,60.0,978.0,Severe Cyclonic Storm
YAAS,2021-05-25 09:00:00+00:00,19.1,88.1,60.0,978.0,Severe Cyclonic Storm
YAAS,2021-05-25 12:00:00+00:00,19.5,88.0,65.0,976.0,Very Severe Cyclonic Storm
YAAS,2021-05-25 15:00:00+00:00,19.8,87.9,65.0,976.0,Very Severe Cyclonic Storm
YAAS,2021-05-25 18:00:00+00:00,20.1,87.8,70.0,974.0,Very Severe Cyclonic Storm
YAAS,2021-05-25 21:00:00+00:00,20.4,87.6,75.0,970.0,Very Severe Cyclonic Storm
YAAS,2021-05-26 00:00:00+00:00,20.8,87.3,75.0,970.0,Very Severe Cyclonic Storm
YAAS,2021-05-26 03:00:00+00:00,21.2,87.1,75.0,970.0,Very Severe Cyclonic Storm
YAAS,2021-05-26 06:00:00+00:00,21.4,86.9,75.0,970.0,Very Severe Cyclonic Storm
YAAS,2021-05-26 09:00:00+00:00,21.6,86.7,55.0,978.0,Severe Cyclonic Storm
YAAS,2021-05-26 12:00:00+00:00,21.8,86.6,45.0,984.0,Cyclonic Storm
YAAS,2021-05-26 15:00:00+00:00,22.2,86.2,40.0,986.0,Cyclonic Storm
YAAS,2021-05-26 18:00:00+00:00,22.5,86.0,30.0,988.0,Deep Depression
YAAS,2021-05-27 00:00:00+00:00,22.8,85.8,30.0,988.0,Deep Depression
YAAS,2021-05-27 03:00:00+00:00,23.1,85.7,30.0,990.0,Deep Depression
YAAS,2021-05-27 06:00:00+00:00,23.5,85.6,25.0,991.0,Depression
YAAS,2021-05-27 12:00:00+00:00,24.3,85.3,25.0,992.0,Depression
YAAS,2021-05-27 18:00:00+00:00,24.7,84.8,25.0,992.0,Depression
